Time,Username,Symbol ID,Coordinates
2023-11-30 15:00:25,jasmine,17,"(125, 450)"
2023-11-30 15:00:25,jasmine,18,"(193, 669)"
2023-11-30 15:00:25,jasmine,19,"(136, 454)"
2023-11-30 15:00:25,jasmine,20,"(197, 665)"
2023-11-30 15:00:25,jasmine,21,"(625, 450)"
2023-11-30 15:00:25,jasmine,22,"(484, 633)"
2023-11-30 15:00:25,jasmine,23,"(497, 633)"
2023-11-30 15:00:25,jasmine,24,"(629, 467)"
2023-11-30 15:00:25,jasmine,25,"(504, 311)"
2023-11-30 15:00:25,jasmine,26,"(508, 325)"
2023-11-30 15:00:25,jasmine,27,"(490, 628)"
2023-11-30 15:00:25,jasmine,28,"(774, 342)"
2023-11-30 15:00:25,jasmine,29,"(506, 322)"
2023-11-30 15:00:25,jasmine,30,"(485, 630)"
2023-11-30 15:00:25,jasmine,31,"(127, 436)"
2023-11-30 15:00:25,jasmine,32,"(195, 668)"
2023-11-30 15:06:46,dirk,1,"(125, 150)"
2023-11-30 15:06:46,dirk,2,"(807, 669)"
2023-11-30 15:06:46,dirk,3,"(691, 108)"
2023-11-30 15:06:46,dirk,4,"(691, 95)"
2023-11-30 15:06:46,dirk,5,"(799, 671)"
2023-11-30 15:06:46,dirk,6,"(700, 104)"
2023-11-30 15:06:46,dirk,7,"(128, 465)"
2023-11-30 15:06:46,dirk,8,"(1000, 150)"
2023-11-30 15:06:46,dirk,9,"(802, 689)"
2023-11-30 15:06:46,dirk,10,"(1091, 507)"
2023-11-30 15:06:46,dirk,11,"(364, 301)"
2023-11-30 15:06:46,dirk,12,"(805, 654)"
2023-11-30 15:06:46,dirk,13,"(797, 648)"
2023-11-30 15:06:46,dirk,14,"(798, 668)"
2023-11-30 15:06:46,dirk,15,"(359, 299)"
2023-11-30 15:06:46,dirk,16,"(119, 475)"
2023-11-30 15:06:46,dirk,17,"(122, 438)"
2023-11-30 15:06:46,dirk,18,"(1094, 498)"
2023-11-30 15:06:46,dirk,19,"(1000, 148)"
2023-11-30 15:06:46,dirk,20,"(113, 144)"
2023-11-30 15:06:46,dirk,21,"(131, 154)"
2023-11-30 15:06:46,dirk,22,"(1001, 140)"
2023-11-30 15:06:46,dirk,23,"(740, 424)"
2023-11-30 15:06:46,dirk,24,"(366, 310)"
2023-11-30 15:06:46,dirk,25,"(370, 298)"
2023-11-30 15:06:46,dirk,26,"(372, 299)"
2023-11-30 15:06:46,dirk,27,"(806, 678)"
2023-11-30 15:06:46,dirk,28,"(358, 288)"
2023-11-30 15:06:46,dirk,29,"(366, 315)"
2023-11-30 15:06:46,dirk,30,"(799, 671)"
2023-11-30 15:06:46,dirk,31,"(737, 416)"
2023-11-30 15:06:46,dirk,32,"(131, 162)"
2023-11-30 15:15:20,Sid,1,"(978, 612)"
2023-11-30 15:15:20,Sid,2,"(135, 175)"
2023-11-30 15:15:20,Sid,3,"(925, 712)"
2023-11-30 15:15:20,Sid,4,"(663, 138)"
2023-11-30 15:15:20,Sid,5,"(889, 212)"
2023-11-30 15:15:20,Sid,6,"(1031, 705)"
2023-11-30 15:15:20,Sid,7,"(213, 725)"
2023-11-30 15:15:20,Sid,8,"(800, 199)"
2023-11-30 15:15:20,Sid,9,"(125, 300)"
2023-11-30 15:15:20,Sid,10,"(1005, 411)"
2023-11-30 15:15:20,Sid,11,"(1035, 151)"
2023-11-30 15:15:20,Sid,12,"(1114, 256)"
2023-11-30 15:15:20,Sid,13,"(1173, 180)"
2023-11-30 15:15:20,Sid,14,"(912, 561)"
2023-11-30 15:15:20,Sid,15,"(170, 453)"
2023-11-30 15:15:20,Sid,16,"(744, 164)"
2023-11-30 15:15:20,Sid,17,"(113, 709)"
2023-11-30 15:15:20,Sid,18,"(233, 448)"
2023-11-30 15:15:20,Sid,19,"(678, 294)"
2023-11-30 15:15:20,Sid,20,"(119, 398)"
2023-11-30 15:15:20,Sid,21,"(63, 444)"
2023-11-30 15:15:20,Sid,22,"(609, 212)"
2023-11-30 15:15:20,Sid,23,"(157, 657)"
2023-11-30 15:15:20,Sid,24,"(1113, 136)"
2023-11-30 15:15:20,Sid,25,"(61, 336)"
2023-11-30 15:15:20,Sid,26,"(1066, 534)"
2023-11-30 15:15:20,Sid,27,"(1011, 290)"
2023-11-30 15:15:20,Sid,28,"(200, 191)"
2023-11-30 15:15:20,Sid,29,"(102, 506)"
2023-11-30 15:15:20,Sid,30,"(1074, 376)"
2023-11-30 15:15:20,Sid,31,"(156, 761)"
2023-11-30 15:15:20,Sid,32,"(192, 317)"
2023-11-30 16:02:09,Kevin,1,"(880, 703)"
2023-11-30 16:02:09,Kevin,2,"(1122, 62)"
2023-11-30 16:02:09,Kevin,3,"(226, 618)"
2023-11-30 16:02:09,Kevin,4,"(785, 368)"
2023-11-30 16:02:09,Kevin,5,"(1100, 743)"
2023-11-30 16:02:09,Kevin,6,"(990, 720)"
2023-11-30 16:02:09,Kevin,7,"(735, 333)"
2023-11-30 16:02:09,Kevin,8,"(619, 440)"
2023-11-30 16:02:09,Kevin,9,"(261, 724)"
2023-11-30 16:02:09,Kevin,10,"(343, 719)"
2023-11-30 16:02:09,Kevin,11,"(1082, 601)"
2023-11-30 16:02:09,Kevin,12,"(1085, 146)"
2023-11-30 16:02:09,Kevin,13,"(152, 702)"
2023-11-30 16:02:09,Kevin,14,"(1103, 271)"
2023-11-30 16:02:09,Kevin,15,"(675, 426)"
2023-11-30 16:02:09,Kevin,16,"(842, 728)"
2023-11-30 16:02:09,Kevin,17,"(406, 705)"
2023-11-30 16:02:09,Kevin,18,"(1146, 279)"
2023-11-30 16:02:09,Kevin,19,"(611, 326)"
2023-11-30 16:02:09,Kevin,20,"(1151, 687)"
2023-11-30 16:02:09,Kevin,21,"(201, 84)"
2023-11-30 16:02:09,Kevin,22,"(64, 246)"
2023-11-30 16:02:09,Kevin,23,"(916, 657)"
2023-11-30 16:02:09,Kevin,24,"(188, 219)"
2023-11-30 16:02:09,Kevin,25,"(674, 295)"
2023-11-30 16:02:09,Kevin,26,"(798, 729)"
2023-11-30 16:02:09,Kevin,27,"(1165, 156)"
2023-11-30 16:02:09,Kevin,28,"(118, 186)"
2023-11-30 16:02:09,Kevin,29,"(759, 449)"
2023-11-30 16:02:09,Kevin,30,"(106, 63)"
2023-11-30 16:02:09,Kevin,31,"(62, 108)"
2023-11-30 16:02:09,Kevin,32,"(1036, 232)"
2023-12-12 13:20:52,lily,1,"(676, 721)"
2023-12-12 13:20:52,lily,2,"(234, 711)"
2023-12-12 13:20:52,lily,3,"(179, 175)"
2023-12-12 13:20:52,lily,4,"(720, 673)"
2023-12-12 13:20:52,lily,5,"(679, 102)"
2023-12-12 13:20:52,lily,6,"(607, 93)"
2023-12-12 13:20:52,lily,7,"(802, 734)"
2023-12-12 13:20:52,lily,8,"(774, 685)"
2023-12-12 13:20:52,lily,9,"(91, 150)"
2023-12-12 13:20:52,lily,10,"(126, 204)"
2023-12-12 13:20:52,lily,11,"(422, 378)"
2023-12-12 13:20:52,lily,12,"(100, 729)"
2023-12-12 13:20:52,lily,13,"(141, 102)"
2023-12-12 13:20:52,lily,14,"(166, 725)"
2023-12-12 13:20:52,lily,15,"(732, 726)"
2023-12-12 13:20:52,lily,16,"(444, 451)"
2023-12-12 13:20:52,lily,17,"(513, 366)"
2023-12-12 13:20:52,lily,18,"(194, 656)"
2023-12-12 13:20:52,lily,19,"(560, 354)"
2023-12-12 13:20:52,lily,20,"(471, 418)"
2023-12-12 13:20:52,lily,21,"(1035, 438)"
2023-12-12 13:20:52,lily,22,"(1154, 470)"
2023-12-12 13:20:52,lily,23,"(1137, 374)"
2023-12-12 13:20:52,lily,24,"(1100, 438)"
2023-12-12 13:20:52,lily,25,"(470, 332)"
2023-12-12 13:20:52,lily,26,"(664, 653)"
2023-12-12 13:20:52,lily,27,"(141, 648)"
2023-12-12 13:20:52,lily,28,"(1067, 529)"
2023-12-12 13:20:52,lily,29,"(815, 668)"
2023-12-12 13:20:52,lily,30,"(999, 120)"
2023-12-12 13:20:52,lily,31,"(1042, 119)"
2023-12-12 13:20:52,lily,32,"(1119, 524)"
2023-12-12 13:23:29,Max,1,"(315, 192)"
2023-12-12 13:23:29,Max,2,"(305, 717)"
2023-12-12 13:23:29,Max,3,"(376, 210)"
2023-12-12 13:23:29,Max,4,"(451, 116)"
2023-12-12 13:23:29,Max,5,"(500, 713)"
2023-12-12 13:23:29,Max,6,"(840, 711)"
2023-12-12 13:23:29,Max,7,"(648, 117)"
2023-12-12 13:23:29,Max,8,"(777, 193)"
2023-12-12 13:23:29,Max,9,"(262, 729)"
2023-12-12 13:23:29,Max,10,"(392, 705)"
2023-12-12 13:23:29,Max,11,"(435, 707)"
2023-12-12 13:23:29,Max,12,"(611, 717)"
2023-12-12 13:23:29,Max,13,"(564, 704)"
2023-12-12 13:23:29,Max,14,"(656, 706)"
2023-12-12 13:23:29,Max,15,"(692, 115)"
2023-12-12 13:23:29,Max,16,"(917, 708)"
2023-12-12 13:23:29,Max,17,"(516, 128)"
2023-12-12 13:23:29,Max,18,"(347, 713)"
